,TRANSACTION_ID,TX_DATETIME,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_TIME_SECONDS,TX_TIME_DAYS
3909703,3909703,2023-07-08 00:16:41,2482,833,13,13565801,157
3909704,3909704,2023-07-08 01:14:55,1622,8781,90,13569295,157
3909705,3909705,2023-07-08 01:27:59,2507,4365,65,13570079,157
3909706,3909706,2023-07-08 01:37:14,2253,8773,97,13570634,157
3909707,3909707,2023-07-08 01:42:52,4866,7578,41,13570972,157
3909708,3909708,2023-07-08 01:53:29,1584,7270,83,13571609,157
3909709,3909709,2023-07-08 02:12:32,4716,7156,46,13572752,157
3909710,3909710,2023-07-08 02:33:20,422,6323,86,13574000,157
3909711,3909711,2023-07-08 02:36:23,3935,751,83,13574183,157
3909712,3909712,2023-07-08 02:43:47,147,6023,9,13574627,157
3909713,3909713,2023-07-08 02:46:26,3591,2055,14,13574786,157
3909714,3909714,2023-07-08 02:52:14,3436,9215,15,13575134,157
3909715,3909715,2023-07-08 02:52:24,932,3513,90,13575144,157
3909716,3909716,2023-07-08 03:01:17,3120,3076,60,13575677,157
3909717,3909717,2023-07-08 03:04:01,1515,4363,30,13575841,157
3909718,3909718,2023-07-08 03:06:46,1705,2524,19,13576006,157
3909719,3909719,2023-07-08 03:13:35,3612,4616,29,13576415,157
3909720,3909720,2023-07-08 03:16:41,966,9686,24,13576601,157
3909721,3909721,2023-07-08 03:17:04,3015,5020,44,13576624,157
3909722,3909722,2023-07-08 03:17:51,1827,9033,21,13576671,157
3909723,3909723,2023-07-08 03:17:51,2622,3719,45,13576671,157
3909724,3909724,2023-07-08 03:22:39,274,2911,28,13576959,157
3909726,3909726,2023-07-08 03:23:26,896,3962,22,13577006,157
3909725,3909725,2023-07-08 03:23:26,4151,4868,69,13577006,157
3909727,3909727,2023-07-08 03:24:51,2079,6717,25,13577091,157
3909728,3909728,2023-07-08 03:25:15,987,425,13,13577115,157
3909729,3909729,2023-07-08 03:25:35,3978,7114,72,13577135,157
3909730,3909730,2023-07-08 03:25:57,1571,5061,70,13577157,157
3909731,3909731,2023-07-08 03:32:03,416,6813,23,13577523,157
3909732,3909732,2023-07-08 03:37:07,4384,7375,49,13577827,157
3909733,3909733,2023-07-08 03:37:21,103,5369,6,13577841,157
3909734,3909734,2023-07-08 03:37:38,4775,5240,78,13577858,157
3909735,3909735,2023-07-08 03:37:46,121,358,33,13577866,157
3909736,3909736,2023-07-08 03:40:13,574,9217,56,13578013,157
3909737,3909737,2023-07-08 03:41:04,3620,2463,80,13578064,157
3909738,3909738,2023-07-08 03:41:35,2982,5573,35,13578095,157
3909739,3909739,2023-07-08 03:42:43,1659,2845,59,13578163,157
3909740,3909740,2023-07-08 03:43:06,2376,3205,63,13578186,157
3909741,3909741,2023-07-08 03:43:46,454,3552,39,13578226,157
3909742,3909742,2023-07-08 03:45:47,2106,8515,75,13578347,157
3909743,3909743,2023-07-08 03:46:23,4470,122,81,13578383,157
3909744,3909744,2023-07-08 03:46:41,2403,6798,10,13578401,157
3909745,3909745,2023-07-08 03:46:59,2045,6901,84,13578419,157
3909746,3909746,2023-07-08 03:47:59,95,188,70,13578479,157
3909747,3909747,2023-07-08 03:48:13,2252,3773,73,13578493,157
3909748,3909748,2023-07-08 03:48:15,304,8883,38,13578495,157
3909749,3909749,2023-07-08 03:48:29,1134,6085,8,13578509,157
3909750,3909750,2023-07-08 03:49:07,3512,4826,4,13578547,157
3909751,3909751,2023-07-08 03:49:12,1168,7236,58,13578552,157
3909752,3909752,2023-07-08 03:49:21,2017,6824,31,13578561,157
3909753,3909753,2023-07-08 03:49:21,2057,8217,80,13578561,157
3909754,3909754,2023-07-08 03:51:22,3323,662,16,13578682,157
3909755,3909755,2023-07-08 03:51:28,2478,8327,46,13578688,157
